#TYPE Selected.System.ServiceProcess.ServiceController
"Name","Status","DisplayName"
"MSDTC","Stopped","Distributed Transaction Coordinator"
"MSiSCSI","Stopped","Microsoft iSCSI Initiator Service"
"msiserver","Stopped","Windows Installer"
"MySQL80","Running","MySQL80"
"NaturalAuthentication","Stopped","Natural Authentication"
"NcaSvc","Stopped","Network Connectivity Assistant"
"NcbService","Running","Network Connection Broker"
"NcdAutoSetup","Stopped","Network Connected Devices Auto-Setup"
"Netlogon","Stopped","Netlogon"
"Netman","Stopped","Network Connections"
"netprofm","Running","Network List Service"
"NetSetupSvc","Stopped","Network Setup Service"
"NetTcpPortSharing","Stopped","Net.Tcp Port Sharing Service"
"NgcCtnrSvc","Running","Microsoft Passport Container"
"NgcSvc","Stopped","Microsoft Passport"
"NlaSvc","Stopped","Network Location Awareness"
"NPSMSvc_7ef0d","Running","Now Playing Session Manager Service_7ef0d"
"nsi","Running","Network Store Interface Service"
"OneDrive Updater Service","Stopped","OneDrive Updater Service"
"OneSyncSvc_7ef0d","Running","Sync Host_7ef0d"
"P9RdrService_7ef0d","Stopped","P9RdrService_7ef0d"
"PcaSvc","Running","Program Compatibility Assistant Service"
"PEMHTTPD-x64","Running","PEMHTTPD-x64"
"PenService_7ef0d","Stopped","PenService_7ef0d"
"perceptionsimulation","Stopped","Windows Perception Simulation Service"
"PerfHost","Stopped","Performance Counter DLL Host"
"PhoneSvc","Running","Phone Service"
"PimIndexMaintenanceSvc_7ef0d","Running","Contact Data_7ef0d"
"pla","Stopped","Performance Logs & Alerts"
"PlugPlay","Running","Plug and Play"
"PolicyAgent","Running","IPsec Policy Agent"
"postgresql-x64-18","Running","postgresql-x64-18 - PostgreSQL Server 18"
"Power","Running","Power"
"PrintDeviceConfigurationService","Stopped","Print Device Configuration Service"
"PrintNotify","Stopped","Printer Extensions and Notifications"
"PrintScanBrokerService","Stopped","PrintScanBrokerService"
"PrintWorkflowUserSvc_7ef0d","Stopped","PrintWorkflow_7ef0d"
"ProfSvc","Running","User Profile Service"
"PushToInstall","Stopped","Windows PushToInstall Service"
"QWAVE","Stopped","Quality Windows Audio Video Experience"
"RasAuto","Stopped","Remote Access Auto Connection Manager"
"RasMan","Running","Remote Access Connection Manager"
"refsdedupsvc","Stopped","ReFS Dedup Service"
"RemoteAccess","Stopped","Routing and Remote Access"
"RemoteMouseService","Running","RemoteMouseService"
"RemoteRegistry","Stopped","Remote Registry"
"RetailDemo","Stopped","Retail Demo Service"
"RmSvc","Running","Radio Management Service"
"RpcEptMapper","Running","RPC Endpoint Mapper"
"RpcLocator","Stopped","Remote Procedure Call (RPC) Locator"
"RpcSs","Running","Remote Procedure Call (RPC)"
"RtkAudioUniversalService","Running","Realtek Audio Universal Service"
"SamSs","Running","Security Accounts Manager"
"SCardSvr","Stopped","Smart Card"
"ScDeviceEnum","Stopped","Smart Card Device Enumeration Service"
"Schedule","Running","Task Scheduler"
"SCPolicySvc","Stopped","Smart Card Removal Policy"
"SDRSVC","Stopped","Windows Backup"
"seclogon","Stopped","Secondary Logon"
"SecurityHealthService","Running","Windows Security Service"
"SEMgrSvc","Stopped","Payments and NFC/SE Manager"
"SENS","Running","System Event Notification Service"
"SensorDataService","Stopped","Sensor Data Service"
"SensorService","Stopped","Sensor Service"
"SensrSvc","Stopped","Sensor Monitoring Service"
"SessionEnv","Stopped","Remote Desktop Configuration"
"SharedAccess","Stopped","Internet Connection Sharing (ICS)"
"ShellHWDetection","Running","Shell Hardware Detection"
"shpamsvc","Stopped","Shared PC Account Manager"
"smphost","Stopped","Microsoft Storage Spaces SMP"
"SmsRouter","Stopped","Microsoft Windows SMS Router Service."
"SNMPTrap","Stopped","SNMP Trap"
"Spooler","Running","Print Spooler"
"sppsvc","Stopped","Software Protection"
"SSDPSRV","Running","SSDP Discovery"
"ssh-agent","Stopped","OpenSSH Authentication Agent"
"SstpSvc","Running","Secure Socket Tunneling Protocol Service"
"StateRepository","Running","State Repository Service"
"StiSvc","Running","Windows Image Acquisition (WIA)"
"StorSvc","Running","Storage Service"
"svsvc","Stopped","Spot Verifier"
"swprv","Stopped","Microsoft Software Shadow Copy Provider"
"SysMain","Running","SysMain"
"SystemEventsBroker","Running","System Events Broker"
"TapiSrv","Stopped","Telephony"
"TermService","Stopped","Remote Desktop Services"
